url_length,domain_length,path_length,count_dots,count_hyphen,count_at,count_question,count_equal,count_digits,count_letters,count_special,has_https,has_ip,subdomain_count,keyword_count,label
43,22,13,2,3,0,0,0,0,33,10,1,0,2,0,1
46,28,10,2,3,0,0,0,0,36,10,1,0,2,0,1
33,24,1,3,0,0,0,0,6,20,7,1,0,3,0,1
44,22,14,2,2,0,0,0,0,35,9,1,0,2,0,1
40,22,10,2,2,0,0,0,0,31,9,1,0,2,0,1
41,23,10,2,2,0,0,0,0,32,9,1,0,2,0,1
42,21,13,2,3,0,0,0,0,32,10,1,0,2,0,1
39,20,11,2,2,0,0,0,0,30,9,1,0,2,0,1
50,28,14,2,4,0,0,0,0,39,11,1,0,2,0,1
44,23,13,2,3,0,0,0,0,35,9,1,0,2,0,1
38,23,7,2,1,0,0,0,0,30,8,1,0,2,0,1
42,21,13,2,2,0,0,0,0,33,9,1,0,2,0,1
42,21,13,2,2,0,0,0,0,33,9,1,0,2,0,1
37,22,7,2,2,0,0,0,0,28,9,1,0,2,0,1
36,21,7,2,2,0,0,0,0,27,9,1,0,2,0,1
41,22,11,2,2,0,0,0,0,32,9,1,0,2,0,1
47,26,13,2,2,0,0,0,0,38,9,1,0,2,0,1
54,46,0,2,2,0,0,0,5,42,7,1,0,2,0,1
54,46,0,2,2,0,0,0,5,42,7,1,0,2,0,1
54,46,0,2,2,0,0,0,5,42,7,1,0,2,0,1
54,46,0,2,2,0,0,0,5,42,7,1,0,2,0,1
39,32,0,2,4,0,0,0,0,30,9,0,0,2,0,1
41,32,1,2,4,0,0,0,0,31,10,1,0,2,0,1
35,26,1,2,1,0,0,0,0,28,7,1,0,2,1,1
37,28,1,2,0,0,0,0,0,31,6,1,0,2,0,1
38,29,1,2,2,0,0,0,2,28,8,1,0,2,0,1
35,26,1,2,0,0,0,0,0,29,6,1,0,2,0,1
46,38,1,2,2,0,0,0,8,30,8,0,0,2,0,1
58,50,1,2,5,0,0,0,8,39,11,0,0,2,0,1
65,57,1,2,7,0,0,0,12,40,13,0,0,2,0,1
67,58,1,2,5,0,0,0,8,48,11,1,0,2,0,1
66,58,1,2,5,0,0,0,8,47,11,0,0,2,0,1
66,58,0,2,5,0,0,0,8,48,10,1,0,2,0,1
87,16,51,3,3,0,1,1,0,74,13,1,0,2,0,1
44,37,0,2,1,0,0,0,8,30,6,0,0,2,0,1
44,37,0,2,1,0,0,0,6,32,6,0,0,2,0,1
49,42,0,2,1,0,0,0,8,35,6,0,0,2,0,1
36,29,0,2,1,0,0,0,8,22,6,0,0,2,0,1
41,33,0,2,0,0,0,0,6,30,5,1,0,2,0,1
44,37,0,2,1,0,0,0,8,30,6,0,0,2,0,1
41,34,0,2,1,0,0,0,8,27,6,0,0,2,0,1
36,29,0,2,1,0,0,0,6,24,6,0,0,2,0,1
36,27,1,1,3,0,0,0,0,28,8,1,0,1,0,1
107,22,77,3,0,0,0,0,16,81,10,1,0,2,0,1
42,27,7,1,3,0,0,0,0,33,9,1,0,1,0,1
64,57,0,2,7,0,0,0,12,40,12,0,0,2,0,1
46,39,0,2,1,0,0,0,6,34,6,0,0,2,0,1
61,53,0,2,1,0,0,0,22,33,6,1,0,2,0,1
33,25,0,2,0,0,0,0,6,22,5,1,0,2,0,1
51,21,22,3,0,0,0,0,2,41,8,1,0,3,0,1
33,12,13,2,0,0,0,0,0,24,9,1,0,2,0,1
67,60,0,2,5,0,0,0,8,49,10,0,0,2,0,1
45,38,0,2,1,0,0,0,7,32,6,0,0,2,0,1
37,30,0,2,1,0,0,0,7,24,6,0,0,2,0,1
167,32,127,5,10,0,0,1,51,88,28,1,0,4,0,1
22,6,8,1,0,0,0,0,2,15,5,1,0,1,0,1
48,13,27,1,2,0,0,0,0,39,9,1,0,1,0,1
49,13,28,1,2,0,0,0,0,39,10,1,0,1,0,1
25,16,1,2,0,0,0,0,0,19,6,1,0,2,0,1
33,16,9,2,0,0,0,0,0,26,7,1,0,2,0,1
53,16,29,3,0,0,0,0,8,37,8,1,0,2,0,1
34,25,1,3,0,0,0,0,3,24,7,1,0,3,0,1
36,21,7,3,0,0,0,0,0,28,8,1,0,3,0,1
36,19,9,1,0,0,0,0,0,30,6,1,0,1,0,1
35,19,8,1,0,0,0,0,0,30,5,1,0,1,0,1
33,17,8,1,0,0,0,0,0,28,5,1,0,1,0,1
34,17,9,1,0,0,0,0,0,28,6,1,0,1,0,1
68,25,14,3,3,0,1,0,17,39,12,1,0,2,1,1
62,43,11,3,1,0,0,0,16,38,8,1,0,2,0,1
55,42,5,4,0,0,0,0,6,40,9,1,0,4,0,1
84,15,61,2,0,0,0,0,8,67,9,1,0,2,0,1
46,31,7,2,0,0,0,0,1,38,7,1,0,2,0,1
28,11,9,1,0,0,0,0,3,20,5,1,0,1,0,1
53,22,23,3,0,0,0,0,0,44,9,1,0,2,0,1
20,6,6,1,0,0,0,0,0,15,5,1,0,1,0,1
25,14,3,1,0,0,0,0,0,20,5,1,0,1,0,1
43,34,1,2,2,0,0,0,6,29,8,1,0,2,0,1
41,32,1,2,2,0,0,0,6,27,8,1,0,2,0,1
38,29,1,2,2,0,0,0,6,24,8,1,0,2,0,1
22,7,7,1,0,0,0,0,3,14,5,1,0,1,0,1
22,7,7,1,0,0,0,0,0,17,5,1,0,1,0,1
22,7,7,1,0,0,0,0,0,17,5,1,0,1,0,1
21,6,7,1,1,0,0,0,0,15,6,1,0,1,0,1
23,8,7,2,0,0,0,0,1,16,6,1,0,2,0,1
23,4,11,1,0,0,0,0,3,15,5,1,0,1,0,1
29,14,7,2,1,0,0,0,0,22,7,1,0,2,0,1
30,14,8,2,1,0,0,0,0,22,8,1,0,2,0,1
84,15,61,2,1,0,0,0,8,66,10,1,0,2,0,1
84,15,61,2,1,0,0,0,7,65,12,1,0,2,0,1
84,15,61,2,0,0,0,0,9,66,9,1,0,2,0,1
84,15,61,2,0,0,0,0,8,67,9,1,0,2,0,1
84,15,61,2,0,0,0,0,8,66,10,1,0,2,0,1
84,15,61,2,1,0,0,0,9,65,10,1,0,2,0,1
84,15,61,2,1,0,0,0,4,70,10,1,0,2,0,1
84,15,61,2,0,0,0,0,8,66,10,1,0,2,0,1
84,15,61,2,1,0,0,0,8,65,11,1,0,2,0,1
84,15,61,2,0,0,0,0,8,66,10,1,0,2,0,1
84,15,61,2,0,0,0,0,7,67,10,1,0,2,0,1
84,15,61,2,0,0,0,0,6,69,9,1,0,2,0,1
84,15,61,2,0,0,0,0,3,71,10,1,0,2,0,1
84,15,61,2,1,0,0,0,5,69,10,1,0,2,0,1
84,15,61,2,2,0,0,0,4,69,11,1,0,2,0,1
84,15,61,2,1,0,0,0,7,67,10,1,0,2,0,1
